entry_ai,entry_ts,entry,exit_ts,exit,regime,regime_market,type,strat,score,adx,rsi,atr_pct,xgb,pnl_net,hold_bars,reason,bt83_a_plus,bt83_size_mult
6433,2024-05-08 09:00:00,88395000.0,2024-06-11 13:00:00,94988000.0,Range,Range,pyramid,P2,5.07,20.4,47.5,43.0,0.587,0.042906638935262684,205,계단손절,False,1.0
6843,2024-07-15 17:00:00,87572000.0,2024-07-24 01:00:00,92020000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,30.0,71.9,52.0,0.717,0.03670591110376384,50,계단손절,False,1.0
6896,2024-07-24 13:00:00,92449000.0,2024-07-30 21:00:00,92767000.0,Range,Range,pyramid,P2,5.07,25.6,46.3,21.0,0.885,-0.009512042735379478,38,계단손절,False,1.0
7091,2024-08-26 01:00:00,86032000.0,2024-08-27 21:00:00,83286000.0,Trend_Up,Trend_Up,pyramid,P2,3.27,34.5,66.7,0.0,0.538,-0.034918355960572814,11,ATR손절,False,1.0
7207,2024-09-14 09:00:00,80802000.0,2024-09-16 21:00:00,78160000.0,Range,Range,pyramid,P2,5.07,19.3,68.1,34.0,0.724,-0.0356972104650875,15,ATR손절,False,1.0
7229,2024-09-18 01:00:00,80459000.0,2024-09-30 09:00:00,84460000.0,Range,Range,pyramid,P2,5.07,23.9,56.4,84.0,0.76,0.03498120932452112,74,계단손절,False,1.0
7305,2024-09-30 17:00:00,83852000.0,2024-10-02 05:00:00,81500000.0,Range,Range,pyramid,P2,5.27,26.3,30.6,14.0,0.844,-0.03104942040738444,9,ATR손절,False,1.0
7346,2024-10-07 13:00:00,85342000.0,2024-10-10 01:00:00,82915000.0,Range,Range,pyramid,P2,5.77,20.9,68.0,12.0,0.726,-0.03143851796301938,15,ATR손절,False,1.0
7379,2024-10-13 01:00:00,84807000.0,2024-11-01 09:00:00,96603000.0,Trend_Up,Trend_Up,pyramid,P2,4.97,25.0,58.8,53.0,0.621,0.12718686432214757,116,계단손절,False,1.0
7508,2024-11-03 13:00:00,95699000.0,2024-11-15 05:00:00,123572000.0,Range,Range,pyramid,P2,5.27,20.5,36.1,90.0,0.815,0.2576235452294458,70,계단손절,False,1.0
7585,2024-11-16 09:00:00,128617000.0,2024-11-24 21:00:00,132301000.0,Trend_Up,Trend_Up,pyramid,P2,4.97,32.9,62.1,78.0,0.774,0.016897505237240644,51,계단손절,False,1.0
7690,2024-12-03 21:00:00,132519000.0,2024-12-20 01:00:00,147434000.0,Volatile,Volatile,trend,P0,4.77,16.6,42.3,100.0,0.673,0.10954989850512002,97,트레일링,False,1.0
7877,2025-01-04 01:00:00,145183000.0,2025-01-08 01:00:00,143810000.0,Range,Range,pyramid,P2,5.77,25.3,64.0,8.0,0.699,-0.02465841797115517,24,계단손절,False,1.0
7936,2025-01-13 21:00:00,140201000.0,2025-01-21 01:00:00,155300000.0,Range,Range,leading_signal,P0,4.57,13.9,42.9,55.0,0.721,0.10469538020413549,43,트레일링,False,1.0
7986,2025-01-22 05:00:00,157571000.0,2025-02-03 17:00:00,150252000.0,Volatile,Volatile,trend,P0,4.97,23.3,56.8,93.0,0.921,-0.04944890239955322,75,트레일링,False,1.0
8100,2025-02-10 05:00:00,147579000.0,2025-02-19 01:00:00,141935000.0,Range,Range,leading_signal,P0,3.27,19.4,37.0,30.0,0.753,-0.041243923593465195,53,ATR손절,False,1.0
8269,2025-03-10 09:00:00,122701000.0,2025-03-11 05:00:00,117477000.0,Range,Range,leading_signal,P0,3.37,23.6,34.2,52.0,0.798,-0.04557504013822219,5,트레일링,False,1.0
