entry_ai,entry_ts,entry,exit_ts,exit,regime,regime_market,type,strat,score,adx,rsi,atr_pct,bt85_ema21_dist,bt85_high20_dist,bt85_entry_atr,mfe,pnl_net,hold_bars,reason
6354,2024-04-25 05:00:00,93534000.0,2024-04-27 17:00:00,90464000.0,Range,Range,leading_signal,P0,4.07,17.8,38.6,21.0,-0.01669225586354891,-0.041924877339260654,1168103.443537553,0.0,-0.03582228922103193,15,ATR손절
6424,2024-05-06 21:00:00,89411000.0,2024-05-09 13:00:00,85651000.0,Trend_Up,Trend_Up,pyramid,P2,5.77,29.4,53.7,53.0,0.004307591318848156,-0.02475976483677098,1431705.6573434726,0.0,-0.045052991242688266,16,ATR손절
6485,2024-05-17 01:00:00,90700000.0,2024-06-11 13:00:00,94988000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,33.4,60.7,37.0,0.014926958037011459,-0.023260822743915572,1244064.5773084164,0.09637265711135612,0.03613161315898438,153,계단손절
6848,2024-07-16 13:00:00,87835000.0,2024-07-25 05:00:00,91501000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,37.1,59.7,77.0,0.01875454368774521,-0.040516036004544266,1444197.3884838372,0.08157340467922809,0.029307062638242006,52,계단손절
6906,2024-07-26 05:00:00,92465000.0,2024-07-30 09:00:00,93112000.0,Trend_Up,Trend_Up,pyramid,P2,4.97,27.7,53.1,62.0,0.00610214456559375,-0.02668421052631579,1289670.5876283683,0.04586600335261991,-0.0034912228039145803,25,계단손절
7094,2024-08-26 13:00:00,85025000.0,2024-08-28 05:00:00,80950000.0,Trend_Up,Trend_Up,pyramid,P2,4.07,36.2,53.9,3.0,0.0011177787363897001,-0.022465192747674726,859258.2409973019,0.0036812702146427523,-0.05092708027050868,10,ATR손절
7229,2024-09-18 01:00:00,80459000.0,2024-09-30 09:00:00,84460000.0,Range,Range,pyramid,P2,5.07,23.9,56.4,84.0,0.011595574310900563,-0.023129036957894224,1108081.8788539125,0.08327222560558793,0.03498120932452112,74,계단손절
7305,2024-09-30 17:00:00,83852000.0,2024-10-02 05:00:00,81500000.0,Range,Range,pyramid,P2,5.27,26.3,30.6,14.0,-0.02210354220573184,-0.04070472485985585,838520.0,0.010136907885321757,-0.03104942040738444,9,ATR손절
7351,2024-10-08 09:00:00,84486000.0,2024-10-11 01:00:00,81381000.0,Range,Range,pyramid,P2,5.77,19.1,52.8,63.0,0.0021212923253638967,-0.021031042513991727,869501.4464048368,0.001657079279407239,-0.03975165116113913,16,ATR손절
7487,2024-10-31 01:00:00,99906000.0,2024-11-01 09:00:00,96603000.0,Trend_Up,Trend_Up,pyramid,P2,5.77,43.3,69.7,82.0,0.01620057239708193,-0.02204428434385951,999060.0,0.007787320080876023,-0.036061077412768004,8,ATR손절
